pickup,dropoff,passengers,distance,fare,tip,tolls,total,color,payment,pickup_zone,dropoff_zone,pickup_borough,dropoff_borough
2019/3/2 19:16,2019/3/2 19:23,1,1.02,6.5,1,0,10.8,yellow,credit card,Sutton Place/Turtle Bay North,Lenox Hill East,Manhattan,Manhattan
2019/3/1 1:25,2019/3/1 1:29,1,1,5,1.76,0,10.56,yellow,credit card,Murray Hill,Midtown East,Manhattan,Manhattan
2019/3/26 19:10,2019/3/26 19:19,1,1.26,7,1.7,0,13,yellow,credit card,Sutton Place/Turtle Bay North,Murray Hill,Manhattan,Manhattan
2019/3/1 18:49,2019/3/1 19:09,2,4.16,17,4.26,0,25.56,yellow,credit card,West Chelsea/Hudson Yards,Yorkville East,Manhattan,Manhattan
2019/3/14 16:49,2019/3/14 17:07,1,3.6,14.5,1.5,0,20.3,yellow,credit card,Penn Station/Madison Sq West,Upper East Side North,Manhattan,Manhattan
2019/3/5 10:34,2019/3/5 10:49,1,1.2,10,0,0,13.3,yellow,cash,Lenox Hill East,Midtown East,Manhattan,Manhattan
2019/3/1 21:12,2019/3/1 21:16,1,0.61,4.5,0,0,8.3,yellow,cash,Union Sq,Murray Hill,Manhattan,Manhattan
2019/3/24 3:10,2019/3/24 3:25,5,3.46,14,3.56,0,21.36,yellow,credit card,East Village,Financial District North,Manhattan,Manhattan
2019/3/24 15:56,2019/3/24 16:01,1,0.6,4.5,1.55,0,9.35,yellow,credit card,Union Sq,Union Sq,Manhattan,Manhattan
2019/3/21 11:53,2019/3/21 12:08,1,1.01,10.5,0,0,13.8,yellow,cash,Midtown North,Midtown East,Manhattan,Manhattan
2019/3/25 15:21,2019/3/25 15:31,1,1.51,8.5,1.86,0,11.16,yellow,credit card,Morningside Heights,Hamilton Heights,Manhattan,Manhattan
2019/3/11 17:32,2019/3/11 17:38,1,0.64,5.5,0,0,9.8,yellow,cash,Garment District,Midtown Center,Manhattan,Manhattan
2019/3/19 19:02,2019/3/19 19:31,1,2.85,18,4.46,0,26.76,yellow,credit card,Gramercy,Midtown North,Manhattan,Manhattan
2019/3/5 18:25,2019/3/5 18:30,1,0.7,5,1.85,0,11.15,yellow,credit card,Upper East Side South,Lenox Hill West,Manhattan,Manhattan
2019/3/6 15:57,2019/3/6 16:08,5,1.31,8.5,2.56,0,15.36,yellow,credit card,Greenwich Village North,Flatiron,Manhattan,Manhattan
2019/3/20 21:34,2019/3/20 21:40,1,0.8,5.5,1.85,0,11.15,yellow,credit card,Midtown East,Murray Hill,Manhattan,Manhattan
2019/3/19 9:53,2019/3/19 9:57,1,0.5,5,0.42,0,8.72,yellow,credit card,Midtown East,Midtown North,Manhattan,Manhattan
2019/3/11 8:10,2019/3/11 8:19,1,1.46,8,1.13,0,12.43,yellow,credit card,Gramercy,Midtown Center,Manhattan,Manhattan
2019/3/10 10:51,2019/3/10 11:02,6,2.22,10,0,0,13.3,yellow,cash,Midtown South,East Chelsea,Manhattan,Manhattan
2019/3/27 21:19,2019/3/27 21:25,1,1.7,7,2,0,12.8,yellow,credit card,Kips Bay,Lenox Hill East,Manhattan,Manhattan
2019/3/14 19:07,2019/3/14 19:27,1,1.24,12.5,3.36,0,20.16,yellow,credit card,Midtown Center,Penn Station/Madison Sq West,Manhattan,Manhattan
2019/3/9 22:19,2019/3/9 22:29,1,1.44,8,1,0,12.8,yellow,credit card,Stuy Town/Peter Cooper Village,Gramercy,Manhattan,Manhattan
2019/3/6 20:29,2019/3/6 20:37,1,1.1,7,2.15,0,12.95,yellow,credit card,Midtown Center,UN/Turtle Bay South,Manhattan,Manhattan
2019/3/19 20:15,2019/3/19 20:22,1,1.8,8,1.2,0,13,yellow,credit card,West Chelsea/Hudson Yards,Lincoln Square West,Manhattan,Manhattan
2019/3/17 20:59,2019/3/17 21:17,1,8.1,24,8.35,5.76,41.91,yellow,credit card,LaGuardia Airport,Gramercy,Queens,Manhattan
2019/3/15 18:55,2019/3/15 19:06,1,1.3,9,2,0,15.3,yellow,credit card,West Chelsea/Hudson Yards,Murray Hill,Manhattan,Manhattan
2019/3/17 18:20,2019/3/17 18:24,3,0.64,4,1.46,0,8.76,yellow,credit card,Midtown East,Murray Hill,Manhattan,Manhattan
2019/3/30 10:50,2019/3/30 10:53,1,0.5,4,0,0,7.3,yellow,cash,Murray Hill,Murray Hill,Manhattan,Manhattan
2019/3/13 13:50,2019/3/13 13:59,1,1.49,8,0,0,11.3,yellow,cash,West Chelsea/Hudson Yards,East Chelsea,Manhattan,Manhattan
2019/3/21 21:25,2019/3/21 21:53,1,6.9,24.5,0,0,28.3,yellow,cash,Upper East Side South,Middle Village,Manhattan,Queens
2019/3/25 16:47,2019/3/25 16:57,2,1.5,8,0,0,12.3,yellow,cash,Lincoln Square West,Upper East Side South,Manhattan,Manhattan
2019/3/28 13:19,2019/3/28 13:27,1,0.8,6.5,0.98,0,10.78,yellow,credit card,Midtown East,Lenox Hill West,Manhattan,Manhattan
2019/3/19 9:06,2019/3/19 9:13,0,1.1,7,0,0,10.3,yellow,credit card,Manhattan Valley,Upper West Side South,Manhattan,Manhattan
2019/3/23 23:34,2019/3/23 23:50,1,2.6,12,0,0,15.8,yellow,cash,East Village,Flatiron,Manhattan,Manhattan
2019/3/19 14:25,2019/3/19 14:33,1,0.51,6,0,0,9.3,yellow,cash,Upper East Side South,Lenox Hill West,Manhattan,Manhattan
2019/3/25 5:39,2019/3/25 5:46,1,1.5,7.5,2.8,0,14.1,yellow,credit card,Central Park,Lenox Hill East,Manhattan,Manhattan
2019/3/11 14:25,2019/3/11 14:44,1,2.5,13.5,3.36,0,20.16,yellow,credit card,Little Italy/NoLiTa,Garment District,Manhattan,Manhattan
2019/3/28 3:34,2019/3/28 3:51,2,9.43,27.5,3,0,34.3,yellow,credit card,Clinton East,Inwood,Manhattan,Manhattan
2019/3/22 18:42,2019/3/22 18:50,1,0.62,6,2.06,0,12.36,yellow,credit card,Midtown East,Midtown East,Manhattan,Manhattan
2019/3/5 11:59,2019/3/5 12:09,1,0.81,7.5,2.16,0,12.96,yellow,credit card,Lincoln Square East,Clinton East,Manhattan,Manhattan
2019/3/22 11:00,2019/3/22 11:20,1,1.85,13,1,0,17.3,yellow,credit card,Midtown East,Union Sq,Manhattan,Manhattan
2019/3/31 19:35,2019/3/31 19:51,2,2.33,12,3.06,0,18.36,yellow,credit card,Penn Station/Madison Sq West,East Village,Manhattan,Manhattan
2019/3/14 21:00,2019/3/14 21:22,5,9.78,28,5.86,0,35.16,yellow,credit card,JFK Airport,Ridgewood,Queens,Queens
2019/3/9 0:47,2019/3/9 1:02,1,7.89,23.5,3,0,30.3,yellow,credit card,Yorkville East,Battery Park City,Manhattan,Manhattan
2019/3/23 16:37,2019/3/23 16:41,5,0.63,4.5,0,0,7.8,yellow,cash,Midtown South,Gramercy,Manhattan,Manhattan
2019/3/8 18:51,2019/3/8 18:52,1,0.33,3,0,0,7.3,yellow,cash,Midtown South,Union Sq,Manhattan,Manhattan
2019/3/17 21:39,2019/3/17 22:06,1,7.1,24,5.56,0,33.36,yellow,credit card,Upper West Side South,East Williamsburg,Manhattan,Brooklyn
2019/3/2 15:59,2019/3/2 16:39,2,17.8,52,12.21,5.76,73.27,yellow,credit card,Times Sq/Theatre District,JFK Airport,Manhattan,Queens
2019/3/20 9:27,2019/3/20 9:52,4,1.89,15,0,0,18.3,yellow,cash,East Chelsea,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019/3/10 23:32,2019/3/10 23:47,2,3.3,13.5,0,0,17.3,yellow,cash,Chinatown,Penn Station/Madison Sq West,Manhattan,Manhattan
2019/3/8 20:08,2019/3/8 20:21,1,2.2,11,0,0,14.8,yellow,cash,Upper East Side South,Upper West Side North,Manhattan,Manhattan
2019/3/11 23:09,2019/3/11 23:20,1,2.08,9.5,0,0,13.3,yellow,cash,Lenox Hill West,Murray Hill,Manhattan,Manhattan
2019/3/30 19:35,2019/3/30 20:31,1,21.2,52,11.05,0,66.35,yellow,credit card,JFK Airport,TriBeCa/Civic Center,Queens,Manhattan
2019/3/6 15:46,2019/3/6 15:51,2,0.7,5,1,0,9.3,yellow,credit card,Lenox Hill East,Yorkville West,Manhattan,Manhattan
2019/3/18 0:52,2019/3/18 1:21,1,19.2,52,10.65,0,63.95,yellow,credit card,JFK Airport,Williamsburg (North Side),Queens,Brooklyn
2019/3/29 17:47,2019/3/29 17:48,5,0.4,3.5,0,0,7.8,yellow,cash,Greenwich Village South,West Village,Manhattan,Manhattan
2019/3/20 23:42,2019/3/20 23:47,1,0.9,6,0,0,9.8,yellow,cash,West Village,East Village,Manhattan,Manhattan
2019/3/6 18:52,2019/3/6 18:58,2,0.5,5.5,2.45,0,12.25,yellow,credit card,Times Sq/Theatre District,Times Sq/Theatre District,Manhattan,Manhattan
2019/3/31 0:47,2019/3/31 1:03,1,1.85,12,3.16,0,18.96,yellow,credit card,Meatpacking/West Village West,Gramercy,Manhattan,Manhattan
2019/3/15 9:31,2019/3/15 9:48,1,1.45,11.5,2.96,0,17.76,yellow,credit card,Battery Park City,Financial District North,Manhattan,Manhattan
2019/3/23 15:54,2019/3/23 16:44,1,18.7,52,12.2,5.76,73.26,yellow,credit card,JFK Airport,Clinton East,Queens,Manhattan
2019/3/23 20:58,2019/3/23 21:21,2,5.7,20.5,0,0,24.3,yellow,cash,Lincoln Square East,Jackson Heights,Manhattan,Queens
2019/3/12 8:39,2019/3/12 9:08,1,3.6,19,4.45,0,26.75,yellow,credit card,Lincoln Square East,Union Sq,Manhattan,Manhattan
2019/3/16 10:12,2019/3/16 10:22,1,1.5,8.5,2.36,0,14.16,yellow,credit card,Flatiron,Stuy Town/Peter Cooper Village,Manhattan,Manhattan
2019/3/9 16:59,2019/3/9 17:24,2,4.44,19,4.46,0,26.76,yellow,credit card,Penn Station/Madison Sq West,Morningside Heights,Manhattan,Manhattan
2019/3/23 10:18,2019/3/23 10:22,1,0.69,5,0.7,0,9,yellow,credit card,Gramercy,Union Sq,Manhattan,Manhattan
2019/3/14 23:09,2019/3/14 23:17,2,1.4,8,0,0,11.8,yellow,cash,Upper East Side South,Midtown Center,Manhattan,Manhattan
2019/3/5 10:10,2019/3/5 10:19,1,1.26,7.5,0,0,10.8,yellow,cash,Union Sq,Garment District,Manhattan,Manhattan
2019/3/31 15:32,2019/3/31 15:51,2,5.33,18.5,4.36,0,26.16,yellow,credit card,World Trade Center,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019/3/15 22:25,2019/3/15 22:33,1,2.33,8.5,1.84,0,14.14,yellow,credit card,Midtown North,East Harlem South,Manhattan,Manhattan
2019/3/5 18:25,2019/3/5 18:30,1,0.62,5,1.86,0,11.16,yellow,credit card,Upper West Side South,Upper West Side South,Manhattan,Manhattan
2019/3/10 15:40,2019/3/10 15:57,0,1.9,12,0,0,15.3,yellow,cash,Penn Station/Madison Sq West,UN/Turtle Bay South,Manhattan,Manhattan
2019/3/8 23:00,2019/3/8 23:24,1,3.22,16,3.96,0,23.76,yellow,credit card,Midtown Center,SoHo,Manhattan,Manhattan
2019/3/22 19:08,2019/3/22 19:27,1,5.92,20,1.2,5.76,31.26,yellow,credit card,Yorkville East,Greenpoint,Manhattan,Brooklyn
2019/3/14 17:25,2019/3/14 17:31,2,0.46,5.5,0,0,9.8,yellow,cash,Union Sq,Gramercy,Manhattan,Manhattan
2019/3/10 15:23,2019/3/10 15:27,1,1.17,5.5,1,0,9.8,yellow,credit card,Upper East Side South,Central Park,Manhattan,Manhattan
2019/3/17 10:52,2019/3/17 11:44,1,9.15,39,8.46,0,50.76,yellow,credit card,Financial District South,Central Park,Manhattan,Manhattan
2019/3/19 14:40,2019/3/19 14:45,2,0.7,5.5,1.76,0,10.56,yellow,credit card,Midtown North,Lincoln Square East,Manhattan,Manhattan
2019/3/29 17:50,2019/3/29 18:10,1,1.54,12.5,0,0,16.8,yellow,cash,Kips Bay,Garment District,Manhattan,Manhattan
2019/3/6 20:24,2019/3/6 20:32,1,1.5,8,2.35,0,14.15,yellow,credit card,Lincoln Square East,Upper West Side North,Manhattan,Manhattan
2019/3/7 19:33,2019/3/7 19:45,2,1.39,9,1.5,0,14.8,yellow,credit card,Midtown North,Clinton East,Manhattan,Manhattan
2019/3/4 14:17,2019/3/4 14:17,1,0,2.5,0,0,3.3,yellow,cash,JFK Airport,JFK Airport,Queens,Queens
2019/3/24 20:37,2019/3/24 20:58,2,6.2,22,5.16,0,30.96,yellow,credit card,Midtown East,Battery Park City,Manhattan,Manhattan
2019/3/11 15:16,2019/3/11 15:26,1,1.14,7.5,0,0,10.8,yellow,cash,Garment District,Midtown Center,Manhattan,Manhattan
2019/3/13 14:56,2019/3/13 15:14,1,2.3,13,3.25,0,19.55,yellow,credit card,Greenwich Village North,Midtown North,Manhattan,Manhattan
2019/3/21 18:08,2019/3/21 18:33,1,2.15,16,4.06,0,24.36,yellow,credit card,Kips Bay,Midtown North,Manhattan,Manhattan
2019/3/8 20:13,2019/3/8 20:31,1,1.46,11.5,0,0,13.3,yellow,credit card,Greenwich Village North,East Chelsea,Manhattan,Manhattan
2019/3/6 9:35,2019/3/6 9:40,2,1,6,0.93,0,10.23,yellow,credit card,Midtown South,Greenwich Village North,Manhattan,Manhattan
2019/3/23 18:35,2019/3/23 18:45,1,1.5,8,0,0,8.8,yellow,cash,Astoria,Astoria,Queens,Queens
2019/3/13 12:46,2019/3/13 13:00,1,1.6,10,1.1,0,14.4,yellow,credit card,Union Sq,East Village,Manhattan,Manhattan
2019/3/10 1:43,2019/3/10 1:45,1,0.37,3.5,0,0,4.8,yellow,cash,JFK Airport,JFK Airport,Queens,Queens
2019/3/24 19:36,2019/3/24 19:49,1,2.6,11.5,2.95,0,17.75,yellow,credit card,Greenwich Village North,Battery Park City,Manhattan,Manhattan
2019/3/5 20:17,2019/3/5 20:35,1,4.2,16,0,0,19.8,yellow,cash,Penn Station/Madison Sq West,Battery Park City,Manhattan,Manhattan
2019/3/21 10:15,2019/3/21 10:28,1,0.97,9.5,0,0,12.8,yellow,cash,Midtown North,Murray Hill,Manhattan,Manhattan
2019/3/10 12:19,2019/3/10 12:49,1,5.06,22,0,0,25.3,yellow,cash,TriBeCa/Civic Center,UN/Turtle Bay South,Manhattan,Manhattan
2019/3/10 0:20,2019/3/10 0:25,1,0.7,5,2.2,0,11,yellow,credit card,East Village,East Village,Manhattan,Manhattan
2019/3/20 16:20,2019/3/20 16:26,5,0.74,6,1.03,0,11.33,yellow,credit card,Lincoln Square West,Lincoln Square West,Manhattan,Manhattan
2019/3/18 7:11,2019/3/18 8:11,0,16.8,52,10,5.76,68.56,yellow,credit card,JFK Airport,East Harlem South,Queens,Manhattan
2019/3/30 12:55,2019/3/30 13:03,1,1.2,7.5,0,0,10.8,yellow,cash,Clinton East,East Chelsea,Manhattan,Manhattan
2019/3/28 14:20,2019/3/28 14:31,1,1.2,9,2.46,0,14.76,yellow,credit card,Sutton Place/Turtle Bay North,Murray Hill,Manhattan,Manhattan
2019/3/9 14:49,2019/3/9 15:28,1,2.25,21.5,0,0,24.8,yellow,cash,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
2019/3/20 18:55,2019/3/20 19:09,1,2,11,3.05,0,18.35,yellow,credit card,Midtown East,Lincoln Square East,Manhattan,Manhattan
2019/3/22 14:02,2019/3/22 14:29,1,1.5,16,3.85,0,23.15,yellow,credit card,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
2019/3/9 22:34,2019/3/9 22:43,1,1.79,8.5,0,0,12.3,yellow,cash,Upper East Side South,Upper West Side North,Manhattan,Manhattan
2019/3/7 18:29,2019/3/7 18:47,1,2.11,13,3.46,0,20.76,yellow,credit card,Morningside Heights,Lincoln Square East,Manhattan,Manhattan
2019/3/30 1:00,2019/3/30 1:29,1,10.2,32.5,7.25,0,43.55,yellow,credit card,Yorkville West,Prospect Heights,Manhattan,Brooklyn
2019/3/13 16:20,2019/3/13 16:27,6,1.22,7.5,2.36,0,14.16,yellow,credit card,Battery Park City,Financial District North,Manhattan,Manhattan
2019/3/13 9:54,2019/3/13 10:18,1,6.49,22.5,6.45,0,32.25,yellow,credit card,Midtown South,Morningside Heights,Manhattan,Manhattan
2019/3/22 15:02,2019/3/22 15:35,1,10.09,31,8.01,5.76,48.07,yellow,credit card,LaGuardia Airport,Midtown Center,Queens,Manhattan
2019/3/10 9:33,2019/3/10 9:52,1,13.4,52,11.7,5.76,70.26,yellow,credit card,,,,
2019/3/29 6:57,2019/3/29 7:08,1,1.3,9,2.45,0,14.75,yellow,credit card,Midtown East,Kips Bay,Manhattan,Manhattan
2019/3/7 9:55,2019/3/7 10:31,6,4.18,22.5,0,0,25.8,yellow,cash,Times Sq/Theatre District,Little Italy/NoLiTa,Manhattan,Manhattan
2019/3/5 21:08,2019/3/5 21:21,1,2,10,5,0,18.8,yellow,credit card,Times Sq/Theatre District,Lenox Hill West,Manhattan,Manhattan
2019/3/12 19:09,2019/3/12 19:20,1,0.9,8.5,1.92,0,14.72,yellow,credit card,Times Sq/Theatre District,,Manhattan,
2019/3/21 19:44,2019/3/21 20:02,1,1.13,11.5,3.16,0,18.96,yellow,credit card,Penn Station/Madison Sq West,Gramercy,Manhattan,Manhattan
2019/3/25 16:59,2019/3/25 17:10,1,2,10,2.85,0,17.15,yellow,credit card,Upper East Side South,Upper West Side South,Manhattan,Manhattan
2019/3/20 11:21,2019/3/20 11:47,5,2.76,16.5,3.96,0,23.76,yellow,credit card,Upper East Side North,Times Sq/Theatre District,Manhattan,Manhattan
2019/3/25 15:54,2019/3/25 15:58,1,0.49,4.5,1,0,8.8,yellow,credit card,Yorkville East,Yorkville West,Manhattan,Manhattan
2019/3/5 13:20,2019/3/5 13:47,4,4.71,20,4.66,0,27.96,yellow,credit card,West Village,Yorkville East,Manhattan,Manhattan
2019/3/5 21:20,2019/3/5 21:35,1,6.96,20.5,0,0,21.8,yellow,cash,LaGuardia Airport,Richmond Hill,Queens,Queens
2019/3/3 14:15,2019/3/3 14:24,1,2.3,9.5,0,0,12.8,yellow,cash,World Trade Center,West Village,Manhattan,Manhattan
2019/3/18 16:18,2019/3/18 16:26,1,0.8,6,0,0,10.3,yellow,cash,Midtown Center,Midtown East,Manhattan,Manhattan
2019/3/17 18:00,2019/3/17 18:10,1,1.61,8.5,1.77,0,13.57,yellow,credit card,Morningside Heights,Upper West Side South,Manhattan,Manhattan
2019/3/27 6:25,2019/3/27 6:29,1,1.6,6.5,0,0,7.3,yellow,credit card,Morningside Heights,Upper West Side North,Manhattan,Manhattan
2019/3/6 21:26,2019/3/6 21:34,1,1.5,7.5,1.7,0,13,yellow,credit card,Times Sq/Theatre District,Midtown South,Manhattan,Manhattan
2019/3/30 0:43,2019/3/30 0:54,1,2.13,9.5,2.66,0,15.96,yellow,credit card,East Village,Murray Hill,Manhattan,Manhattan
2019/3/10 9:30,2019/3/10 9:35,2,1.3,6.5,0,0,9.8,yellow,cash,UN/Turtle Bay South,Gramercy,Manhattan,Manhattan
2019/3/11 15:21,2019/3/11 15:36,1,2.07,11.5,2.22,0,17.02,yellow,credit card,Midtown North,Gramercy,Manhattan,Manhattan
2019/3/13 13:55,2019/3/13 14:00,1,0.3,4.5,1.55,0,9.35,yellow,credit card,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019/3/16 22:13,2019/3/16 22:23,1,1,7.5,2.8,0,14.1,yellow,credit card,Midtown South,Clinton East,Manhattan,Manhattan
2019/3/24 11:48,2019/3/24 12:04,1,0.97,10.5,0,0,13.8,yellow,cash,Murray Hill,Garment District,Manhattan,Manhattan
2019/3/8 18:59,2019/3/8 19:13,1,1.79,10.5,2.96,0,17.76,yellow,credit card,Gramercy,Lower East Side,Manhattan,Manhattan
2019/3/6 8:32,2019/3/6 8:43,1,1.27,8.5,2.36,0,14.16,yellow,credit card,Lincoln Square East,Clinton West,Manhattan,Manhattan
2019/3/22 17:34,2019/3/22 17:53,1,3.5,15.5,4.95,0,24.75,yellow,credit card,Greenwich Village North,Boerum Hill,Manhattan,Brooklyn
2019/3/12 7:55,2019/3/12 8:11,1,1.79,11.5,3.7,0,18.5,yellow,credit card,UN/Turtle Bay South,Penn Station/Madison Sq West,Manhattan,Manhattan
2019/3/8 17:55,2019/3/8 18:02,1,1.1,7,1,0,12.3,yellow,credit card,Upper West Side North,Upper West Side South,Manhattan,Manhattan
2019/3/26 22:43,2019/3/26 22:50,1,1.03,6.5,2.06,0,12.36,yellow,credit card,SoHo,Greenwich Village North,Manhattan,Manhattan
2019/3/26 14:43,2019/3/26 15:06,5,10.22,29,5,5.76,43.06,yellow,credit card,Midtown East,LaGuardia Airport,Manhattan,Queens
2019/3/23 14:53,2019/3/23 15:18,1,3.1,17,4.05,0,24.35,yellow,credit card,Murray Hill,Meatpacking/West Village West,Manhattan,Manhattan
2019/3/19 21:01,2019/3/19 21:04,1,0.8,4.5,0,0,8.3,yellow,cash,Lincoln Square East,Lincoln Square West,Manhattan,Manhattan
2019/3/23 14:35,2019/3/23 15:12,1,16.7,52,12.17,5.54,73.01,yellow,credit card,Midtown East,JFK Airport,Manhattan,Queens
2019/3/28 14:48,2019/3/28 15:06,1,2.69,13.5,3.36,0,20.16,yellow,credit card,UN/Turtle Bay South,Lincoln Square East,Manhattan,Manhattan
2019/3/15 14:18,2019/3/15 14:58,1,9.26,32,0,0,35.3,yellow,cash,LaGuardia Airport,Lower East Side,Queens,Manhattan
2019/3/3 7:48,2019/3/3 7:53,1,1.57,7,0,0,10.3,yellow,cash,Union Sq,Times Sq/Theatre District,Manhattan,Manhattan
2019/3/22 6:42,2019/3/22 6:46,1,0.68,5,0,0,8.3,yellow,cash,Murray Hill,Garment District,Manhattan,Manhattan
2019/3/12 16:39,2019/3/12 16:46,1,0.6,6,0,0,10.3,yellow,cash,Times Sq/Theatre District,Garment District,Manhattan,Manhattan
2019/3/7 19:20,2019/3/7 20:07,1,17.86,52,6.66,0,66.46,yellow,credit card,JFK Airport,Lower East Side,Queens,Manhattan
2019/3/20 21:22,2019/3/20 21:49,1,5.7,21.5,0,0,22.8,yellow,credit card,East Harlem South,Mount Hope,Manhattan,Bronx
2019/3/19 5:35,2019/3/19 6:10,6,14.54,42,8.66,0,51.96,yellow,credit card,JFK Airport,Clinton Hill,Queens,Brooklyn
2019/3/5 13:26,2019/3/5 13:34,1,1,6.5,1,0,10.8,yellow,credit card,Upper East Side South,Lenox Hill West,Manhattan,Manhattan
2019/3/4 17:22,2019/3/4 17:49,1,10.02,30.5,6.46,0,38.76,yellow,credit card,JFK Airport,Bushwick North,Queens,Brooklyn
2019/3/18 15:13,2019/3/18 15:18,1,0.8,5.5,0,0,8.8,yellow,cash,Upper East Side South,Upper East Side North,Manhattan,Manhattan
2019/3/16 20:13,2019/3/16 20:24,1,2.18,9.5,2,0,15.3,yellow,credit card,Lenox Hill West,East Harlem South,Manhattan,Manhattan
2019/3/25 19:33,2019/3/25 19:39,1,1.2,6.5,2.15,0,12.95,yellow,credit card,Upper West Side South,Upper East Side North,Manhattan,Manhattan
2019/3/27 21:30,2019/3/27 21:34,1,0.7,5,0,0,8.8,yellow,cash,Upper East Side South,Lenox Hill West,Manhattan,Manhattan
2019/3/23 9:47,2019/3/23 9:58,1,1.54,9,2.46,0,14.76,yellow,credit card,West Village,Little Italy/NoLiTa,Manhattan,Manhattan
2019/3/13 16:51,2019/3/13 17:04,1,0.6,8.5,2.55,0,15.35,yellow,credit card,West Chelsea/Hudson Yards,Clinton East,Manhattan,Manhattan
2019/3/30 9:49,2019/3/30 9:53,1,1.01,5.5,1.76,0,10.56,yellow,credit card,Yorkville East,Lenox Hill East,Manhattan,Manhattan
2019/3/8 23:32,2019/3/8 23:36,1,1.7,6.5,0,0,10.3,yellow,cash,Upper East Side North,East Harlem South,Manhattan,Manhattan
2019/3/14 16:48,2019/3/14 16:53,1,0.66,5,1,0,10.3,yellow,credit card,Lincoln Square West,Lincoln Square West,Manhattan,Manhattan
2019/3/8 23:12,2019/3/8 23:17,2,1.15,6,0,0,9.8,yellow,credit card,East Chelsea,Times Sq/Theatre District,Manhattan,Manhattan
2019/3/16 8:32,2019/3/16 8:41,1,1.5,8,2.25,0,13.55,yellow,credit card,Lenox Hill East,Upper East Side North,Manhattan,Manhattan
2019/3/25 19:05,2019/3/25 19:20,6,2.13,11.5,2,0,17.8,yellow,credit card,Gramercy,Sutton Place/Turtle Bay North,Manhattan,Manhattan
2019/3/24 14:16,2019/3/24 14:23,1,0.7,5.5,0,0,8.8,yellow,cash,Clinton East,Penn Station/Madison Sq West,Manhattan,Manhattan
2019/3/8 11:05,2019/3/8 11:14,1,1.1,7.5,2.16,0,12.96,yellow,credit card,Penn Station/Madison Sq West,Union Sq,Manhattan,Manhattan
2019/3/1 20:05,2019/3/1 20:12,0,1.5,7.5,2.15,0,12.95,yellow,credit card,Lenox Hill West,Upper West Side South,Manhattan,Manhattan
2019/3/2 20:16,2019/3/2 20:32,1,1.52,11,2,0,16.8,yellow,credit card,East Village,West Village,Manhattan,Manhattan
2019/3/1 23:17,2019/3/1 23:31,2,1.56,10,0,0,13.8,yellow,cash,Greenwich Village North,Midtown South,Manhattan,Manhattan
2019/3/1 19:26,2019/3/1 19:34,2,0.88,6,1,0,11.3,yellow,credit card,Times Sq/Theatre District,Clinton West,Manhattan,Manhattan
2019/3/23 12:30,2019/3/23 13:04,1,8.26,23.32,0,0,23.62,yellow,credit card,East Flatbush/Farragut,East New York,Brooklyn,Brooklyn
2019/3/20 13:42,2019/3/20 13:50,1,0.9,6.5,0,0,9.8,yellow,cash,Lenox Hill East,Upper East Side South,Manhattan,Manhattan
2019/3/16 19:28,2019/3/16 19:48,1,3.54,15.5,4.7,0,23.5,yellow,credit card,Yorkville East,Clinton East,Manhattan,Manhattan
2019/3/5 22:52,2019/3/5 22:54,1,0.4,3.5,0,0,4.8,yellow,cash,Astoria,Astoria,Queens,Queens
2019/3/31 9:34,2019/3/31 9:45,3,1.92,9.5,2.56,0,15.36,yellow,credit card,TriBeCa/Civic Center,East Village,Manhattan,Manhattan
2019/3/12 21:07,2019/3/12 21:18,1,2.35,10.5,0,0,14.3,yellow,cash,Central Park,Clinton East,Manhattan,Manhattan
2019/3/9 18:43,2019/3/9 18:51,2,0.9,6.5,0,0,9.8,yellow,cash,Clinton East,Midtown East,Manhattan,Manhattan
2019/3/25 14:10,2019/3/25 14:11,1,0.45,3.5,0,0,6.8,yellow,cash,Upper East Side North,Upper East Side North,Manhattan,Manhattan
2019/3/12 12:52,2019/3/12 13:03,1,5.12,15.5,0,0,16.3,yellow,cash,Elmhurst,Briarwood/Jamaica Hills,Queens,Queens
2019/3/22 14:57,2019/3/22 15:22,1,9.28,28.5,0,0,29.3,yellow,cash,JFK Airport,Canarsie,Queens,Brooklyn
2019/3/21 20:31,2019/3/21 20:40,1,0.87,7,2.16,0,12.96,yellow,credit card,Greenwich Village North,East Village,Manhattan,Manhattan
2019/3/13 15:11,2019/3/13 15:56,1,10.64,38,14.12,5.76,61.18,yellow,credit card,Lincoln Square East,LaGuardia Airport,Manhattan,Queens
2019/3/12 12:24,2019/3/12 12:39,1,1.6,10.5,2,0,15.8,yellow,credit card,Upper East Side North,Upper East Side South,Manhattan,Manhattan
2019/3/16 14:37,2019/3/16 14:42,3,0.5,5,1.24,0,9.54,yellow,credit card,East Village,East Village,Manhattan,Manhattan
2019/3/29 22:10,2019/3/29 22:36,1,15,52,12.2,5.76,73.26,yellow,credit card,JFK Airport,Gramercy,Queens,Manhattan
2019/3/11 0:55,2019/3/11 1:11,1,4.93,17,0,0,20.8,yellow,cash,Lower East Side,Gowanus,Manhattan,Brooklyn
